name,price,images,nha_san_xuat,noi_san_xuat,thuoc_can_ke_don,hoat_chat,chi_dinh_tom_tat,dang_bao_che,quy_cach,luu_y,mo_ta,thanh_phan,chi_dinh_chi_tiet,huong_dan_su_dung,cach_su_dung,than_trong,thong_tin_san_xuat,url,drug_type,category_link
"Thuốc xịt mũi Nasol Spray giảm triệu chứng nghẹt mũi, sổ mũi, viêm mũi dị ứng (chai 70ml)",30.000 ₫/Chai,"['https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162028-0-pharmacity-logo.png', 'https://prod-cdn.pharmacity.io/e-com/images/banners/20260223021224-0-topbanner.png?versionId=boSF1FhI8L2QFtZmzsmoZph2CX0Ipkl1', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20240520103330-0-20240403091737-0-new-bagde.png', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20240816073820-0-Frame%2024020.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/pharmacity-logo.svg', 'https://develop-cdn.pharmacity.io/e-com/images/static-website/20251230085433-0-freeship.png', 'https://production-cdn.pharmacity.io/digital/original/plain/e-com/images/static-website/20260105073249-0-search-rx.png?versionId=lZyR7ygpfq8Q22oKOftFVyNPzno_LB9g', 'https://production-cdn.pharmacity.io/digital/original/plain/e-com/images/static-website/20260105073249-0-nurse.png?versionId=EW1j7JypKDtabKF2v3WIGEzPYFMoty1F', 'https://production-cdn.pharmacity.io/digital/original/plain/e-com/images/static-website/20260104134659-0-near-by-store.png?versionId=4Lu87w6bw8yVXpRjVAc9.fChkrvbWsXV', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20241107092036-0-P25238_1.png?versionId=vR3MUfNeOxXmiRKQsUK6GLXenA1nVhga', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20250806122454-0-P25238_2.png?versionId=TMng_5jcp0dgt5z0kEycAU7FxpdNsw0o', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20250806122455-0-P25238_3.png?versionId=Qct66kaFsXyRVyRf186fs5lYpwXSDYen', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20250806122456-0-P25238_4.png?versionId=AN74rx64tYVck7XGByVviWd1Hn0RRvOF', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20241107092036-0-P25238_1.png?versionId=vR3MUfNeOxXmiRKQsUK6GLXenA1nVhga', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250806122454-0-P25238_2.png?versionId=TMng_5jcp0dgt5z0kEycAU7FxpdNsw0o', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250806122455-0-P25238_3.png?versionId=Qct66kaFsXyRVyRf186fs5lYpwXSDYen', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250806122456-0-P25238_4.png?versionId=AN74rx64tYVck7XGByVviWd1Hn0RRvOF', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20250429105301-0-san-pham-chinh-hang.png', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20250429105321-0-so-1-bao-quan-chat-luong.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240809162128-0-zalo.svg', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706153649-0-user-avatar.svg', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706153649-0-pharmacity-avatar.svg', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706153648-0-blue-tick.svg', 'https://production-cdn.pharmacity.io/digital/640x640/plain/e-com/images/product/20250710080238-0-P01064.png?versionId=CIiBoORPGeVgH2OPluo1z1gTo4rJIuDV', 'https://production-cdn.pharmacity.io/digital/640x640/plain/e-com/images/ecommerce/20250415090859-0-P14739.jpg?versionId=dFqOeUHzH.s5ua04X0rRLY94tG10RbiL', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240716084109-0-zalo-chat.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-BCT.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-DMCA.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162440-0-COD.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-Visa.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-MasterCard.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-JCB.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-Momo.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162729-0-ZaloPay.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20241122062454-0-napas.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20241122063240-0-apple-pay.png']",RELIV HEALTHCARE,,,Natri Clorid 630mg,"Giảm triệu chứng nghẹt mũi, sổ mũi, Viêm mũi dị ứng",Thuốc xịt mũi,Chai 70ml,Mọi thông tin trên đây chỉ mang tính chất tham khảo. Vui lòng đọc kĩ thông tin chi tiết ở tờ hướng dẫn sử dụng của sản phẩm.,,,,,,,,https://www.pharmacity.vn/nasol-spray-chai-70ml.html,,
"Thuốc xịt mũi Nasomom 4 Tinh dầu trẻ em giảm sổ mũi, viêm mũi dị ứng, khò khè trẻ nhỏ (chai 70ml)",39.000 ₫/Chai,"['https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162028-0-pharmacity-logo.png', 'https://prod-cdn.pharmacity.io/e-com/images/banners/20260223021224-0-topbanner.png?versionId=boSF1FhI8L2QFtZmzsmoZph2CX0Ipkl1', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20240520103330-0-20240403091737-0-new-bagde.png', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20240816073820-0-Frame%2024020.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/pharmacity-logo.svg', 'https://develop-cdn.pharmacity.io/e-com/images/static-website/20251230085433-0-freeship.png', 'https://production-cdn.pharmacity.io/digital/original/plain/e-com/images/static-website/20260105073249-0-search-rx.png?versionId=lZyR7ygpfq8Q22oKOftFVyNPzno_LB9g', 'https://production-cdn.pharmacity.io/digital/original/plain/e-com/images/static-website/20260105073249-0-nurse.png?versionId=EW1j7JypKDtabKF2v3WIGEzPYFMoty1F', 'https://production-cdn.pharmacity.io/digital/original/plain/e-com/images/static-website/20260104134659-0-near-by-store.png?versionId=4Lu87w6bw8yVXpRjVAc9.fChkrvbWsXV', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20250415110317-0-P25237_1.png?versionId=SGSVlWTDsjPxJYeQ8cfLnP3JcUiXC6sP', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20250415110317-1-P25237_2.png?versionId=Z7_gM3BcTJrPu.oenL69iX4ZqZqMBH_8', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20250415110317-2-P25237_3.png?versionId=PoZOC.lyuuQgaSwUEgtPo9VcQCGbeQ9w', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20250806122453-0-P25237_4.png?versionId=JAsH47dMc4ikYzbEZEA7EKKOXIPLHltm', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20250806122454-0-P25237_5.png?versionId=NH_CQQw3Eyl5xvTvxvxU6rRuy4B77SGc', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250415110317-0-P25237_1.png?versionId=SGSVlWTDsjPxJYeQ8cfLnP3JcUiXC6sP', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250415110317-1-P25237_2.png?versionId=Z7_gM3BcTJrPu.oenL69iX4ZqZqMBH_8', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250415110317-2-P25237_3.png?versionId=PoZOC.lyuuQgaSwUEgtPo9VcQCGbeQ9w', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250806122453-0-P25237_4.png?versionId=JAsH47dMc4ikYzbEZEA7EKKOXIPLHltm', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250806122454-0-P25237_5.png?versionId=NH_CQQw3Eyl5xvTvxvxU6rRuy4B77SGc', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20250429105301-0-san-pham-chinh-hang.png', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20250429105321-0-so-1-bao-quan-chat-luong.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706153649-0-user-avatar.svg', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706153649-0-pharmacity-avatar.svg', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706153648-0-blue-tick.svg', 'https://production-cdn.pharmacity.io/digital/640x640/plain/e-com/images/ecommerce/P02975_1.jpg', 'https://production-cdn.pharmacity.io/digital/640x640/plain/e-com/images/ecommerce/20250415090637-0-P01139.jpg?versionId=Czf5B13rhsD7yEXlHWIE1prxaDE0tfgj', 'https://production-cdn.pharmacity.io/digital/640x640/plain/e-com/images/product/20250725050400-0-P00063_1.jpg?versionId=_2gMKAWGlz6lHh4H33KK3e9MmysvkM1B', 'https://production-cdn.pharmacity.io/digital/640x640/plain/e-com/images/ecommerce/20250415090630-0-P00342.jpg?versionId=8LBzpMNvWNYYVRmreP8X57grmo7LTElm', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240716084109-0-zalo-chat.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-BCT.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-DMCA.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162440-0-COD.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-Visa.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-MasterCard.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-JCB.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-Momo.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162729-0-ZaloPay.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20241122062454-0-napas.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20241122063240-0-apple-pay.png']",RELIV HEALTHCARE,,,Natri Clorid 630mg,"Giảm triệu chứng nghẹt mũi, sổ mũi, Viêm mũi dị ứng, khò khè trẻ nhỏ",Tinh dầu xịt mũi,Chai 70ml,Mọi thông tin trên đây chỉ mang tính chất tham khảo. Vui lòng đọc kĩ thông tin chi tiết ở tờ hướng dẫn sử dụng của sản phẩm.,,,,,,,,https://www.pharmacity.vn/tinh-dau-tre-em-nasomom-4-spray-chai-70ml.html,,
Nhóm sản phẩm giảm đau dạ dày cho người lớn,220.900 ₫/Bộ,"['https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162028-0-pharmacity-logo.png', 'https://prod-cdn.pharmacity.io/e-com/images/banners/20260223021224-0-topbanner.png?versionId=boSF1FhI8L2QFtZmzsmoZph2CX0Ipkl1', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20240520103330-0-20240403091737-0-new-bagde.png', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20240816073820-0-Frame%2024020.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/pharmacity-logo.svg', 'https://develop-cdn.pharmacity.io/e-com/images/static-website/20251230085433-0-freeship.png', 'https://production-cdn.pharmacity.io/digital/original/plain/e-com/images/static-website/20260105073249-0-search-rx.png?versionId=lZyR7ygpfq8Q22oKOftFVyNPzno_LB9g', 'https://production-cdn.pharmacity.io/digital/original/plain/e-com/images/static-website/20260105073249-0-nurse.png?versionId=EW1j7JypKDtabKF2v3WIGEzPYFMoty1F', 'https://production-cdn.pharmacity.io/digital/original/plain/e-com/images/static-website/20260104134659-0-near-by-store.png?versionId=4Lu87w6bw8yVXpRjVAc9.fChkrvbWsXV', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20260206075625-0-OL00142_1.png?versionId=J19CHEetzePpJeEkLm01oT12JTMKiDIp', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20260204023145-1-OL00142_2.jpg?versionId=Bw7dmrhiXkvtltOEONGBDfpJ78TQqyVX', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20260206080145-0-OL00142_5.jpg?versionId=Yk_6JyA7duPr7DqSLkq7jlzoJj6m_bvu', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20260206075625-0-OL00142_1.png?versionId=J19CHEetzePpJeEkLm01oT12JTMKiDIp', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20260204023145-1-OL00142_2.jpg?versionId=Bw7dmrhiXkvtltOEONGBDfpJ78TQqyVX', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20260206080145-0-OL00142_5.jpg?versionId=Yk_6JyA7duPr7DqSLkq7jlzoJj6m_bvu', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20250429105301-0-san-pham-chinh-hang.png', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250415090617-0-P01384.jpg?versionId=3FthKXmYmDaz.VtU_XlwlbYTBLE7Cf1c', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250415090858-0-P17481.jpg?versionId=x1r1Q3AmkqcwoEdaRvoIPV1ID1LQTYHR', 'https://prod-cdn.pharmacity.io/e-com/images/banners/20251023064628-0-Bannerproductdetail848x312.png?versionId=MonlD2efNSrd2bur4K_s5Akl1hFHDZA8', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240809162128-0-zalo.svg', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240716084109-0-zalo-chat.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-BCT.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-DMCA.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162440-0-COD.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-Visa.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-MasterCard.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-JCB.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-Momo.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162729-0-ZaloPay.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20241122062454-0-napas.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20241122063240-0-apple-pay.png']",,,,,,,,,,,,,,,,https://www.pharmacity.vn/nhom-san-pham-giam-dau-da-day-cho-nguoi-lon.html,,
"Thuốc dùng ngoài Bacterocin điều trị tại chỗ bệnh chốc lỡ, viêm nang lông và mụn mủ (tuýp 5g)",47.000 ₫/Tuýp,"['https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162028-0-pharmacity-logo.png', 'https://prod-cdn.pharmacity.io/e-com/images/banners/20260223021224-0-topbanner.png?versionId=boSF1FhI8L2QFtZmzsmoZph2CX0Ipkl1', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20240520103330-0-20240403091737-0-new-bagde.png', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20240816073820-0-Frame%2024020.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/pharmacity-logo.svg', 'https://develop-cdn.pharmacity.io/e-com/images/static-website/20251230085433-0-freeship.png', 'https://production-cdn.pharmacity.io/digital/original/plain/e-com/images/static-website/20260105073249-0-search-rx.png?versionId=lZyR7ygpfq8Q22oKOftFVyNPzno_LB9g', 'https://production-cdn.pharmacity.io/digital/original/plain/e-com/images/static-website/20260105073249-0-nurse.png?versionId=EW1j7JypKDtabKF2v3WIGEzPYFMoty1F', 'https://production-cdn.pharmacity.io/digital/original/plain/e-com/images/static-website/20260104134659-0-near-by-store.png?versionId=4Lu87w6bw8yVXpRjVAc9.fChkrvbWsXV', 'https://production-cdn.pharmacity.io/digital/1080x1080/plain/e-com/images/ecommerce/20250613075905-0-P25424_1.jpg?versionId=wbGsPKMqclwKqKPd09EbOvtSuCnqZTxn', 'https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250613075905-0-P25424_1.jpg?versionId=wbGsPKMqclwKqKPd09EbOvtSuCnqZTxn', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20250429105301-0-san-pham-chinh-hang.png', 'https://prod-cdn.pharmacity.io/e-com/images/ecommerce/20250429105321-0-so-1-bao-quan-chat-luong.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240809162128-0-zalo.svg', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240716084109-0-zalo-chat.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-BCT.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-DMCA.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162440-0-COD.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-Visa.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-MasterCard.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-JCB.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162441-0-Momo.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20240706162729-0-ZaloPay.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20241122062454-0-napas.png', 'https://prod-cdn.pharmacity.io/e-com/images/static-website/20241122063240-0-apple-pay.png']",Genuone Sciences Inc.,,Không,Mupirocin,"Bệnh chốc lở, viêm nang lông và mụn mủ do Staphylococcus aureus và Streptococcus pyogenes, nhiễm khuẩn da do bỏng hoặc bị thương.",Thuốc mỡ,,Mọi thông tin trên đây chỉ mang tính chất tham khảo. Vui lòng đọc kĩ thông tin chi tiết ở tờ hướng dẫn sử dụng của sản phẩm.,,"Công Dụng
Chỉ định
Thuốc Bacterocin Oint chỉ định điều trị trong các trường hợp sau:

Điều trị tại chỗ bệnh chốc lở, viêm nang lông và mụn mủ do Staphylococcus aureus và Streptococcus pyogenes.
Điều trị nhiễm khuẩn da do bỏng hoặc bị thương.

Dược lực học
Mã ATC: DO6AXOP, RO1AX06
Upirocin là một kháng sinh.
Thuốc ức chế sự tổng hợp protein của vi khuẩn. Thuốc có tác dụng kìm khuẩn ở nồng độ thấp và diệt khuẩn ở nồng độ cao.
Mupirocin có phổ kháng khuẩn hẹp, chủ yếu trên vi khuẩn Gram dương Ưa khí. Hầu hết các chủng Staphylococci như Staphylococcus aureus, S.epidermidis, S. saprophylicus đều nhạy cảm với thuốc.
Dược động học
Khi bôi ngoài da, một lượng thuốc rất nhỏ được hấp thu vào vòng tuần hoàn chung.
Thuốc chỉ dùng để bôi tại chỗ.
Hướng dẫn sử dụng
Cách dùng
Bôi thuốc lên vùng da bị bệnh.
Chỉ dùng ngoài, không bôi quanh mắt hoặc bôi vào mắt.
Thuốc không phù hợp dùng cho vùng ống thông nội tĩnh mạch.
Liều dùng
Trẻ em ≥ 1 tuổi và người lớn:

Điều trị trong 10 ngày, 2-3 lần/ngày.
Có thể dùng gạc băng lại nếu muốn.

Trẻ em < 1 tuổi: Chưa có bằng chứng và các nghiên cứu về an toàn, hiệu quả nên không sử dụng cho đối tượng này.
Bệnh nhân suy gan, suy thận: Không cần điều chỉnh liều.
Lưu ý: Liều dùng trên chỉ mang tính chất tham khảo. Liều dùng cụ thể tùy thuộc vào thể trạng và mức độ diễn tiến của bệnh. Để có liều dùng phù hợp, bạn cần tham khảo ý kiến bác sĩ hoặc chuyên viên y tế.
Làm gì khi dùng quá liều?
Trong trường hợp khẩn cấp, hãy gọi ngay cho Trung tâm cấp cứu 115 hoặc đến trạm Y tế địa phương gần nhất.
Làm gì khi quên 1 liều?
Bổ sung liều ngay khi nhớ ra. Tuy nhiên, nếu thời gian giãn cách với liều tiếp theo quá ngắn thì bỏ qua liều đã quên và tiếp tục lịch dùng thuốc. Không dùng liều gấp đôi để bù cho liều đã bị bỏ lỡ.
Tác dụng phụ

Các tác dụng không mong muốn khi dùng Bacterocin Oint mà bạn có thể gặp.

Rát, đau râm ran, đau, ngứa, phát ban.
Nôn, đau, phồng rộp, viêm da, hoại tử.
Dị ứng toàn thân.

Khi gặp tác dụng phụ của thuốc, bệnh nhân cần ngưng sử dụng và thông báo cho bác sĩ hoặc đến cơ sở y tế gần nhất để được xử trí kịp thời.



Lưu ý

Chống chỉ định
Thuốc Bacterocin Oint chống chỉ định trong các trường hợp sau:

Chống chỉ định với bệnh nhân mẫn cảm với bất cứ thành phần nào của thuốc.
Trường hợp bệnh thận đa nang.
Phụ nữ có thai.
Phụ nữ cho con bú.

Thận trọng khi sử dụng
Bệnh nhân mẫn cảm hoặc có tiền sử dị ứng với polyethylene glycol.
Không sử dụng thuốc này cho vết thương trong thời gian dài. Sử dụng lâu có thể tăng nguy cơ nhiễm khuẩn, viêm ruột kết màng giả. Không được bôi vào mắt, vào trong mũi.
Nếu không thấy tình trạng được cải thiện sau 3 đến 5 ngày sử dụng, tham khảo ý kiến bác sĩ, dược sĩ.
Ngừng sử dụng thuốc nếu kích ứng mạnh, xuất hiện nốt đỏ và dau, tham khảo ý kiến bác sĩ hoặc dược sĩ.
Tiến hành thử mẫn cảm và sử dụng thuốc trong giai đoạn ngắn nhất để ngăn phản ứng miễn dịch.
Không sử dụng thuốc này để phòng nhiễm trùng hoặc phòng tái phát herpes.
Không có báo cáo về sự dung nạp của thuốc.Tuy nhiên, không loại trừ khả năng này.
Không sử dụng thuốc này như một chất pha loãng hoặc chất nền để trộn với các thuốc khác.
Khả năng lái xe và vận hành máy móc
Chưa có bằng chứng về ảnh hưởng của thuốc lên khả năng lái xe, vận hành máy móc.
Phụ nữ trong thời kỳ mang thai và cho con bú
Sử dụng thuốc cho phụ nữ có thai hoặc cho là có thai cần cân nhắc lợi ích và nguy cơ vì không có nhiều trường hợp dùng thuốc này khi mang thai.
Không sử dụng thuốc cho phụ nữ cho con bú (Không có dữ liệu thuốc bài tiết vào sữa mẹ).
Tương tác thuốc
Tương tác thuốc có thể ảnh hưởng đến hoạt động của thuốc hoặc gây ra các tác dụng phụ. Nên báo cho bác sĩ hoặc dược sĩ danh sách những thuốc và các thực phẩm chức năng bạn đang sử dụng. Không nên dùng hay tăng giảm liều lượng của thuốc mà không có sự hướng dẫn của bác sĩ.
Nếu đang sử dụng thuốc này và thuốc khác cùng lúc, tác dụng kháng khuẩn giảm.
Bảo Quản
Để nơi mát, tránh ánh sáng, nhiệt độ dưới 30⁰C.",,"Tác dụng phụ

Các tác dụng không mong muốn khi dùng Bacterocin Oint mà bạn có thể gặp.

Rát, đau râm ran, đau, ngứa, phát ban.
Nôn, đau, phồng rộp, viêm da, hoại tử.
Dị ứng toàn thân.

Khi gặp tác dụng phụ của thuốc, bệnh nhân cần ngưng sử dụng và thông báo cho bác sĩ hoặc đến cơ sở y tế gần nhất để được xử trí kịp thời.



Lưu ý

Chống chỉ định
Thuốc Bacterocin Oint chống chỉ định trong các trường hợp sau:

Chống chỉ định với bệnh nhân mẫn cảm với bất cứ thành phần nào của thuốc.
Trường hợp bệnh thận đa nang.
Phụ nữ có thai.
Phụ nữ cho con bú.

Thận trọng khi sử dụng
Bệnh nhân mẫn cảm hoặc có tiền sử dị ứng với polyethylene glycol.
Không sử dụng thuốc này cho vết thương trong thời gian dài. Sử dụng lâu có thể tăng nguy cơ nhiễm khuẩn, viêm ruột kết màng giả. Không được bôi vào mắt, vào trong mũi.
Nếu không thấy tình trạng được cải thiện sau 3 đến 5 ngày sử dụng, tham khảo ý kiến bác sĩ, dược sĩ.
Ngừng sử dụng thuốc nếu kích ứng mạnh, xuất hiện nốt đỏ và dau, tham khảo ý kiến bác sĩ hoặc dược sĩ.
Tiến hành thử mẫn cảm và sử dụng thuốc trong giai đoạn ngắn nhất để ngăn phản ứng miễn dịch.
Không sử dụng thuốc này để phòng nhiễm trùng hoặc phòng tái phát herpes.
Không có báo cáo về sự dung nạp của thuốc.Tuy nhiên, không loại trừ khả năng này.
Không sử dụng thuốc này như một chất pha loãng hoặc chất nền để trộn với các thuốc khác.
Khả năng lái xe và vận hành máy móc
Chưa có bằng chứng về ảnh hưởng của thuốc lên khả năng lái xe, vận hành máy móc.
Phụ nữ trong thời kỳ mang thai và cho con bú
Sử dụng thuốc cho phụ nữ có thai hoặc cho là có thai cần cân nhắc lợi ích và nguy cơ vì không có nhiều trường hợp dùng thuốc này khi mang thai.
Không sử dụng thuốc cho phụ nữ cho con bú (Không có dữ liệu thuốc bài tiết vào sữa mẹ).
Tương tác thuốc
Tương tác thuốc có thể ảnh hưởng đến hoạt động của thuốc hoặc gây ra các tác dụng phụ. Nên báo cho bác sĩ hoặc dược sĩ danh sách những thuốc và các thực phẩm chức năng bạn đang sử dụng. Không nên dùng hay tăng giảm liều lượng của thuốc mà không có sự hướng dẫn của bác sĩ.
Nếu đang sử dụng thuốc này và thuốc khác cùng lúc, tác dụng kháng khuẩn giảm.
Bảo Quản
Để nơi mát, tránh ánh sáng, nhiệt độ dưới 30⁰C.",,,,https://www.pharmacity.vn/bacterocin-5g.html,,
